time	V(buf)
1.648153054361196e-02	-2.572089e+00
1.648155073916590e-02	-2.573391e+00
1.648159113027380e-02	-2.575029e+00
1.648163738544153e-02	-2.575805e+00
1.648168284493886e-02	-2.575747e+00
1.648174220568729e-02	-2.575113e+00
1.648181411887132e-02	-2.574160e+00
1.648189640152076e-02	-2.573209e+00
1.648200582810998e-02	-2.572336e+00
1.648213837188552e-02	-2.571701e+00
1.648233473985061e-02	-2.571103e+00
1.648253295148700e-02	-2.570546e+00
1.648280471788549e-02	-2.569679e+00
1.648320197044685e-02	-2.568363e+00
1.648366139731891e-02	-2.566870e+00
1.648458025106304e-02	-2.563880e+00
1.648567743723219e-02	-2.560302e+00
1.648787180957048e-02	-2.553145e+00
1.649226055424708e-02	-2.538820e+00
1.649865589695692e-02	-2.517938e+00
1.650906987512689e-02	-2.483928e+00
1.664530839702080e-02	-2.038990e+00
1.678154691891471e-02	-1.594360e+00
1.691778544080861e-02	-1.150038e+00
1.705402396270252e-02	-7.060258e-01
1.719026248459643e-02	-2.623219e-01
1.732650100649034e-02	1.810732e-01
1.746273952838424e-02	6.241596e-01
1.753249399266996e-02	8.508857e-01
1.760224845695567e-02	1.077524e+00
1.767200292124138e-02	1.304075e+00
1.774175738552710e-02	1.530539e+00
1.781151184981281e-02	1.756914e+00
1.788126631409852e-02	1.983203e+00
